DEPARTAMENTO,MUNICIPIO,COMPAÑÍA OPERADORA,CONTRATO,CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
CASANARE,OROCUE,Canacol Energy Colombia S.A.,E&P LLANOS 23,LABRADOR,66,55,55,52,113,381,378,401,402,415,495,522
CASANARE,OROCUE,Canacol Energy Colombia S.A.,RANCHO HERMOSO ACUERDO PART CASANARE-CANACOL,RANCHO HERMOSO 4,549,1012,1187,1147,1409,1018,958,967,896,901,827,778
CASANARE,OROCUE,Canacol Energy Colombia S.A.,RANCHO HERMOSO SPR-CANACOL,RANCHO HERMOSO,120,0,0,0,0,0,0,0,0,0,0,0
CASANARE,OROCUE,EMERALD ENERGY  DE COLOMBIA PLC,CAMPO RICO,VIGIA SUR,12,58,73,66,39,32,26,20,17,10,9,8
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,COROCORA,CAÑO DUYA,1,1,1,1,1,1,1,1,1,1,0,0
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,ESTERO,GUANAPALO,1,1,2,1,0,1,1,2,1,1,0,0
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,CANDALAY,1,1,1,1,1,0,1,1,0,0,0,0
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,GUASAR,3,3,3,3,3,3,3,3,3,3,2,2
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,JORCAN,1,1,1,1,1,1,1,1,1,1,0,0
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,JORDAN,5,5,5,5,5,5,5,5,5,5,3,3
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,PARAVARE,2,2,2,2,2,2,2,2,2,2,2,2
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,PIRITO,1,1,1,1,1,1,1,1,1,1,0,1
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GARCERO,SARDINAS,5,5,5,5,5,4,4,4,4,4,4,4
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,OROCUE,GUARILAQUE,7,7,7,7,7,7,7,7,7,6,7,7
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,OROPENDOLA PERENCO,OROPENDOLA,5,5,5,5,5,5,5,5,5,3,4,4
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,OROPENDOLA PERENCO,VIREO,23,13,27,29,34,36,33,31,29,28,29,26
CASANARE,OROCUE,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.,CDNDI,SANTO DOMINGO,987,989,843,720,376,329,294,346,344,329,324,307
CASANARE,OROCUE,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.,CDNDI,SANTO DOMINGO NORTE,81,122,91,84,94,28,26,48,51,50,46,42
CASANARE,PAZ DE ARIPORO,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),YAMU,YAMÚ,20,20,18,16,0,24,21,9,10,10,10,10
CASANARE,PAZ DE ARIPORO,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA,CUERVA OESTE,238,132,117,96,264,72,86,95,89,76,93,80
CASANARE,PAZ DE ARIPORO,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA,CUERVA SUR,9,8,9,7,4,6,6,7,7,6,7,7
CASANARE,PAZ DE ARIPORO,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA,CUERVA SUROESTE,3,6,10,8,1,6,8,10,10,8,5,6
CASANARE,PAZ DE ARIPORO,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),DOROTEA,DOROTEA B,396,312,494,568,343,251,229,248,310,296,295,302
CASANARE,PAZ DE ARIPORO,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),LEONA,LEONA B,1,2,2,2,2,3,3,2,2,2,2,2
CASANARE,PAZ DE ARIPORO,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),LEONA,LEONA B NORTE,0,0,1,3,3,1,0,3,3,3,3,2
CASANARE,PAZ DE ARIPORO,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),LEONA,LEONA B SUR,3,2,3,3,3,4,4,5,1,0,5,5
CASANARE,PAZ DE ARIPORO,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),LEONA,LEONA C,3,2,3,3,3,3,3,3,1,0,7,4
CASANARE,PAZ DE ARIPORO,PACIFIC STRATUS ENERGY,E&E ARRENDAJO,AZOR,22,9,8,8,0,9,9,9,8,8,8,9
CASANARE,PAZ DE ARIPORO,PERENCO COLOMBIA LIMITED,CASANARE,CAÑO GARZA,1,1,1,1,1,1,1,1,1,1,1,1
