Departamento,Operadora,Municipio,Contrato,Campo,ENERO,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CASANARE,EQUION ENERGIA LIMITED,AGUAZUL,RECETOR EQUION,CUPIAGUA LIRIA,168.74,161.7,157.34,137.05,166.25,168.36,131.06,164.06,172.92,172.32,166.25,175.14
CASANARE,EQUION ENERGIA LIMITED,AGUAZUL,RECETOR EQUION,PAUTO SUR RECETOR,19.66,19.19,19.47,16.33,19.58,19.66,19.42,17.12,16.7,16.96,17.25,17.15
CASANARE,EQUION ENERGIA LIMITED,AGUAZUL,TAURAMENA EQUION,CUSIANA,0,0,0,0,0,0,0,0,0,0,126.45,0
CASANARE,EQUION ENERGIA LIMITED,TAURAMENA,RIO CHITAMENA EQUION,CUSIANA,27.55,28.27,26.81,23.67,22.89,21.19,23.03,23.04,21.97,22.96,22.62,24.52
CASANARE,EQUION ENERGIA LIMITED,TAURAMENA,TAURAMENA EQUION,CUSIANA,346.89,325.4,305.79,254.21,255.89,248.4,232.42,218.15,223.94,226.96,116.23,224.74
CASANARE,EQUION ENERGIA LIMITED,YOPAL,PIEDEMONTE EQUION,FLOREÑA,31.11,37.46,37.99,36.62,37.64,41.16,39.65,37.94,41.15,38.63,35.32,28.42
CASANARE,EQUION ENERGIA LIMITED,YOPAL,PIEDEMONTE EQUION,FLOREÑA MIRADOR,16.23,16.84,13.05,15.7,13.45,12.98,12.16,10.84,11.84,11.94,9.98,5.29
CASANARE,EQUION ENERGIA LIMITED,YOPAL,PIEDEMONTE EQUION,PAUTO SUR,229.6,225.74,220.06,217.63,227.03,228.54,226.74,223.78,215.95,227.04,273.99,234.46
CASANARE,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),PAZ DE ARIPORO,YAMU,YAMÚ,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CASANARE,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),PORE,YAMU,CARUPANA,0.03,0.02,0.01,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.03
CASANARE,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),PORE,YAMU,POTRILLO,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CASANARE,GEOPARK COLOMBIA PN S.A SUCURSAL COLOMBIA (Winchester),TAURAMENA,E&P LLANOS 34,TAROTARO,0.08,0.08,0.1,0.16,0.16,0.14,0.14,0.15,0.15,0.15,0.13,0.09
